order_count,total_payment,avg_review_score,avg_delivery_days,days_since_last_purchase
1,95.8,5.0,7.0,251
1,110.24,5.0,20.0,314
1,180.24,5.0,6.0,165
1,133.38,5.0,10.0,237
1,44.21,3.0,11.0,443
1,77.29,5.0,11.0,181
1,332.73,5.0,2.0,316
1,223.44,4.0,21.0,70
1,250.7,5.0,14.0,195
1,38.13,3.0,23.0,213
1,53.84,3.0,20.0,582
1,61.75,5.0,6.0,256
1,494.87,4.0,7.0,134
1,258.23,3.0,27.0,192
1,165.71,5.0,10.0,446
1,47.38,5.0,6.0,391
1,193.72,4.0,9.0,207
1,307.14,1.0,21.0,420
1,128.54,5.0,6.0,121
1,619.4,5.0,13.0,411
1,355.11,5.0,15.0,536
1,116.94,1.0,8.0,421
1,91.5,5.0,20.0,224
1,163.79,2.0,21.0,308
1,219.58,4.0,5.0,616
1,437.36,5.0,9.0,184
1,116.94,5.0,15.0,513
1,71.38,5.0,18.0,153
1,301.56,1.0,9.0,177
1,52.71,4.0,10.0,202
1,21.77,1.0,1.0,372
1,49.42,5.0,7.0,609
1,1963.14,4.0,10.0,193
1,266.01,1.0,19.0,538
1,33.72,4.0,2.0,146
1,132.9,4.0,6.0,83
1,52.93,4.0,7.0,78
1,43.0,4.0,1.0,427
1,186.71,5.0,17.0,395
1,27.1,5.0,26.0,303
1,123.18,5.0,21.0,198
1,619.07,5.0,13.0,545
1,88.67,5.0,17.0,563
1,99.52,5.0,8.0,181
1,76.85,5.0,7.0,462
1,29.75,1.0,13.0,331
1,112.71,2.0,27.0,326
1,38.17,5.0,3.0,394
1,220.36,2.0,49.0,232
1,87.38,5.0,10.0,113
1,94.66,4.0,7.0,62
1,83.05,3.0,37.0,284
1,65.69,5.0,18.0,242
1,36.6,4.0,10.0,460
1,32.9,5.0,5.0,330
1,181.95,5.0,24.0,212
1,199.96,5.0,13.0,76
1,203.51,4.0,11.0,445
1,24.71,5.0,12.0,384
1,73.34,5.0,3.0,390
1,624.9,5.0,22.0,160
1,379.3,4.0,8.0,178
1,84.05,4.0,12.0,301
1,55.09,4.0,9.0,323
1,161.77,5.0,7.0,330
1,213.08,2.0,8.0,236
1,111.43,5.0,13.0,241
1,2023.58,4.0,6.0,373
1,61.32,5.0,12.0,191
1,33.37,5.0,15.0,211
1,476.16,2.0,5.0,328
1,47.95,5.0,15.0,568
1,79.51,5.0,11.0,94
1,47.57,4.0,10.0,228
1,300.87,5.0,11.0,464
1,67.52,3.0,3.0,64
1,18.28,4.0,2.0,64
1,367.2,1.0,5.0,349
1,67.44,5.0,9.0,122
1,269.87,5.0,14.0,77
1,65.78,5.0,6.0,517
1,77.89,1.0,14.0,195
1,272.82,3.0,44.0,235
1,71.05,5.0,12.0,425
1,124.42,4.0,6.0,316
1,134.9,5.0,11.0,188
1,67.36,5.0,8.0,212
1,378.44,1.0,13.0,190
1,157.57,3.0,10.0,69
1,30.7,3.0,16.0,116
1,535.99,5.0,8.0,206
1,287.4,5.0,10.0,312
1,103.37,5.0,7.0,526
1,113.42,4.0,5.0,68
1,450.24,4.0,27.0,307
1,43.84,5.0,9.0,458
1,38.09,5.0,15.0,377
1,35.73,4.0,8.0,62
1,67.54,5.0,2.0,85
1,781.88,5.0,5.0,330
1,208.0,5.0,10.0,275
1,273.6,5.0,13.0,94
1,1775.26,1.0,30.0,306
1,86.53,4.0,27.0,209
1,165.8,1.0,35.0,230
1,27.3,5.0,6.0,71
1,98.56,4.0,24.0,73
1,245.59,5.0,3.0,170
1,46.78,4.0,4.0,398
1,198.91,5.0,7.0,324
1,71.14,5.0,40.0,432
1,773.01,4.0,4.0,70
1,40.0,5.0,11.0,326
1,159.76,4.0,7.0,243
1,148.06,1.0,19.0,326
1,155.0,4.0,9.0,277
1,58.78,4.0,2.0,141
1,308.51,5.0,4.0,219
1,519.4,5.0,5.0,566
1,31.38,4.0,5.0,165
2,110.93,2.333333333333333,9.666666666666666,339
1,709.58,5.0,12.0,342
1,452.0,5.0,5.0,624
1,1435.58,5.0,6.0,560
1,57.51,4.0,14.0,256
1,39.1,5.0,12.0,469
1,97.15,5.0,7.0,121
1,221.88,5.0,4.0,258
1,139.87,5.0,9.0,445
1,62.42,5.0,5.0,110
1,453.33,1.0,191.0,287
1,34.68,4.0,5.0,249
1,54.69,5.0,13.0,145
1,62.74,5.0,15.0,448
1,818.4,4.0,11.0,165
1,185.21,5.0,9.0,175
1,35.77,5.0,1.0,193
1,71.14,5.0,21.0,327
1,65.1,5.0,23.0,265
1,241.37,3.0,20.0,245
1,353.17,5.0,11.0,83
1,151.97,4.0,5.0,136
1,136.08,5.0,20.0,323
1,149.16,5.0,20.0,154
1,121.3,5.0,15.0,204
1,140.08,5.0,9.0,449
2,244.35,5.0,13.0,213
1,72.22,5.0,3.0,157
1,59.46,5.0,14.0,142
1,35.77,5.0,3.0,131
1,97.98,5.0,18.0,216
1,55.0,3.0,7.0,271
1,48.97,5.0,2.0,133
1,147.06,5.0,10.0,439
1,69.49,3.0,12.0,546
1,394.04,2.0,7.0,499
2,694.73,5.0,5.666666666666667,69
1,112.3,3.0,7.0,229
1,37.0,4.0,11.0,514
1,136.27,4.0,12.0,166
1,100.33,5.0,13.0,498
1,98.65,5.0,6.0,67
1,88.49,5.0,8.0,125
1,88.34,5.0,9.0,385
1,146.69,5.0,17.0,327
1,102.97,5.0,9.0,220
1,107.27,5.0,19.0,170
1,91.03,5.0,5.0,60
1,57.58,5.0,3.0,99
1,85.6,4.0,5.0,587
1,50.69,5.0,8.0,241
1,81.79,4.0,28.0,310
1,25.84,5.0,19.0,295
2,73.01,4.333333333333333,22.33333333333333,327
1,67.5,5.0,16.0,255
1,62.91,4.0,22.0,384
1,62.33,4.0,6.0,524
1,72.76,4.0,9.0,331
1,263.59,4.0,1.0,273
1,379.67,4.0,9.0,499
1,163.79,5.0,3.0,267
1,414.2,3.0,9.0,420
1,71.63,5.0,3.0,486
1,242.76,5.0,6.0,161
1,203.9,5.0,5.0,105
1,42.0,4.0,6.0,419
1,262.94,5.0,3.0,339
1,113.33,5.0,4.0,83
1,44.23,1.0,11.0,138
1,115.45,4.0,7.0,327
1,58.74,4.0,2.0,119
1,149.69,5.0,6.0,325
1,177.24,5.0,6.0,267
1,168.83,4.0,7.0,133
1,192.26,5.0,6.0,158
1,138.5,5.0,9.0,107
1,56.6,4.0,13.0,628
1,62.39,5.0,11.0,95
1,268.0,1.0,48.0,325
1,163.06,5.0,7.0,487
1,63.88,4.0,4.0,158
1,94.77,5.0,11.0,68
3,88.85,5.0,20.666666666666668,572
1,152.99,5.0,6.0,481
1,111.04,3.0,4.0,229
1,58.0,3.0,12.0,377
1,152.62,5.0,5.0,155
1,58.64,5.0,2.0,239
1,85.14,5.0,8.0,525
1,357.13,2.0,14.0,453
1,189.1,4.0,5.0,215
1,216.36,5.0,8.0,133
1,247.97,4.0,7.0,331
1,93.85,5.0,5.0,208
1,285.85,3.0,1.0,384
1,19.89,5.0,1.0,83
1,128.14,5.0,6.0,123
1,26.68,5.0,6.0,511
1,37.93,1.0,10.0,619
1,109.52,5.0,1.0,146
1,167.59,4.0,17.0,201
1,36.17,1.0,6.0,236
1,171.99,5.0,6.0,174
1,316.64,1.0,8.0,259
1,250.36,5.0,7.0,238
1,20.03,5.0,3.0,302
1,60.0,4.0,24.0,236
1,220.68,5.0,24.0,257
1,684.01,4.0,18.0,488
1,81.23,5.0,5.0,333
1,121.9,5.0,5.0,124
1,164.85,4.0,5.0,162
1,83.32,5.0,15.0,129
1,122.27,4.0,7.0,352
1,66.64,4.0,16.0,326
1,87.71,4.0,6.0,490
1,220.64,4.0,10.0,138
1,72.42,5.0,9.0,245
2,390.72,4.0,18.0,510
1,123.18,3.0,32.0,197
1,33.71,5.0,2.0,119
1,192.14,1.0,26.0,337
1,83.23,5.0,11.0,240
1,297.06,1.0,10.0,362
1,74.33,5.0,4.0,327
1,156.99,4.0,26.0,206
1,193.84,5.0,5.0,105
2,483.25,5.0,11.0,264
1,173.24,5.0,12.0,592
1,30.0,5.0,10.0,327
1,31.43,4.0,11.0,174
1,288.19,5.0,3.0,366
1,207.57,1.0,36.0,506
1,175.77,5.0,16.0,385
1,34.68,5.0,3.0,523
1,1202.04,4.0,6.0,79
1,64.51,5.0,9.0,273
2,167.17000000000002,4.0,12.0,95
1,206.87,5.0,14.0,325
1,158.21,5.0,24.0,318
1,70.63,4.0,11.0,316
1,571.85,5.0,5.0,85
1,140.09,5.0,14.0,162
1,462.3,5.0,7.0,86
1,118.35,5.0,5.0,83
1,211.12,5.0,9.0,316
1,38.13,1.0,34.0,219
1,71.07,4.0,5.0,75
1,143.1,3.0,17.0,484
1,76.6,4.0,32.0,740
1,65.35,5.0,11.0,117
1,106.38,5.0,9.0,371
1,143.99,5.0,18.0,121
1,249.94,4.0,13.0,203
1,175.08,4.0,14.0,218
1,434.92,5.0,3.0,166
1,173.57,5.0,3.0,320
1,44.53,5.0,22.0,498
1,47.52,5.0,4.0,174
1,103.36,5.0,4.0,110
1,220.04,5.0,4.0,460
1,162.04,5.0,5.0,196
1,20.75,2.0,2.0,182
1,338.77,5.0,8.0,233
1,296.64,3.0,9.0,198
1,56.36,5.0,6.0,77
1,198.62,5.0,10.0,355
1,28.75,4.0,28.0,304
1,76.66,5.0,25.0,305
1,45.1,4.0,9.0,264
1,34.09,5.0,12.0,523
1,67.12,5.0,7.0,226
1,44.0,5.0,15.0,373
1,107.54,4.0,7.0,125
1,183.12,3.0,40.0,580
1,293.08,1.0,24.0,140
2,99.41,5.0,4.5,438
1,165.64,5.0,19.0,152
1,72.64,5.0,11.0,327
1,50.38,5.0,6.0,444
1,35.69,3.0,18.0,433
1,61.18,5.0,2.0,156
1,130.7,5.0,19.0,187
1,175.26,4.0,15.0,463
1,116.36,4.0,8.0,252
1,777.68,3.0,14.0,147
1,127.92,5.0,15.0,328
1,89.58,5.0,7.0,110
1,230.52,4.0,17.0,344
1,607.5,1.0,14.0,266
1,151.89,3.0,9.0,129
1,68.22,5.0,13.0,168
1,69.16,5.0,2.0,90
1,112.03,5.0,5.0,427
1,438.94,5.0,3.0,563
1,21.89,5.0,3.0,165
1,142.1,3.0,13.0,511
1,100.86,5.0,14.0,371
1,4957.96,1.0,25.0,263
1,164.63,4.0,5.0,264
1,257.91,3.0,24.0,228
1,148.15,5.0,5.0,155
1,801.28,5.0,4.0,240
1,21.65,5.0,7.0,232
1,46.99,5.0,16.0,596
1,2125.44,1.0,24.0,240
1,189.56,4.0,5.0,286
1,117.76,5.0,10.0,283
1,122.64,5.0,10.0,536
1,203.67,5.0,17.0,327
1,80.02,5.0,10.0,124
1,1471.51,5.0,11.0,366
1,165.77,5.0,13.0,460
1,148.5,4.0,18.0,198
1,170.29,5.0,10.0,505
1,58.37,5.0,5.0,125
1,53.01,4.0,13.0,227
1,213.75,5.0,6.0,216
1,83.86,4.0,14.0,358
1,765.24,5.0,1.0,394
1,47.53,5.0,26.0,326
1,129.47,3.0,12.0,544
1,89.88,5.0,24.0,267
1,62.22,5.0,12.0,180
1,156.42000000000002,1.0,1.0,195
1,302.72,5.0,17.0,325
1,149.82,5.0,14.0,110
1,1957.25,4.0,6.0,261
1,181.55,5.0,14.0,338
1,1623.94,3.0,18.0,338
1,58.05,5.0,10.0,148
1,50.01,3.0,18.0,260
1,61.8,5.0,22.0,302
1,271.63,5.0,36.0,275
1,145.58,5.0,9.0,238
1,138.63,3.0,28.0,198
1,101.73,3.0,9.0,317
1,97.65,5.0,4.0,111
1,77.57,5.0,12.0,329
1,28.41,5.0,6.0,128
1,1654.46,2.0,8.0,65
1,162.55,4.0,9.0,204
1,132.51,3.0,9.0,619
1,38.63,2.0,4.0,153
1,64.07,1.0,32.0,327
1,16.36,4.0,2.0,51
1,57.59,5.0,5.0,280
1,73.34,5.0,8.0,437
1,116.79,5.0,5.0,77
1,187.86,5.0,5.0,73
1,140.91,3.0,14.0,589
1,419.67,1.0,35.0,224
1,227.27,5.0,16.0,137
1,70.97,4.0,5.0,82
1,30.1,5.0,10.0,74
1,111.6,5.0,4.0,204
1,89.9,1.0,2.0,51
1,25.95,4.0,24.0,555
1,157.46,5.0,9.0,64
1,135.51,3.0,54.0,324
1,41.29,5.0,5.0,198
1,116.81,4.0,2.0,363
1,156.12,4.0,34.0,171
1,41.86,5.0,6.0,81
1,96.8,2.0,8.0,449
1,426.0,1.0,6.0,119
1,68.63,4.0,8.0,371
1,70.02,5.0,7.0,365
1,27.68,4.0,1.0,241
1,40.38,5.0,4.0,134
1,252.89,5.0,19.0,226
1,49.09,1.0,22.0,322
2,291.44,5.0,2.0,65
1,91.99,5.0,13.0,264
1,176.2,5.0,10.0,66
1,138.96,5.0,3.0,88
1,44.09,5.0,15.0,252
1,109.12,2.0,39.0,215
1,320.54,5.0,18.0,396
1,499.4,3.0,20.0,154
1,192.98,4.0,22.0,370
1,51.9,5.0,12.0,174
1,20.78,5.0,11.0,341
1,121.6,4.0,14.0,153
1,303.72,5.0,15.0,316
1,353.79,3.0,27.0,231
1,114.57,5.0,7.0,135
1,170.0,4.0,12.0,70
1,135.5,5.0,10.0,278
1,75.62,5.0,18.0,467
1,63.76,4.0,3.0,262
1,76.65,5.0,11.0,353
1,166.14,5.0,4.0,86
1,222.92,5.0,21.0,208
1,53.1,5.0,10.0,337
1,23.28,3.0,3.0,88
1,351.35,5.0,6.0,188
2,351.2,5.0,4.666666666666667,563
1,92.06,5.0,5.0,154
1,680.2,1.0,8.0,167
1,230.62,5.0,11.0,544
1,116.94,5.0,15.0,325
1,144.54,4.0,13.0,196
1,139.91,5.0,8.0,595
1,21.77,4.0,2.0,273
1,63.68,5.0,8.0,371
1,373.54,5.0,2.0,119
1,113.44,5.0,8.0,168
1,163.95,5.0,3.0,197
1,134.48,3.0,27.0,322
1,31.33,4.0,24.0,334
1,114.35,5.0,11.0,399
1,64.0,4.0,27.0,301
1,90.99,4.0,5.0,171
1,76.1,5.0,5.0,56
1,114.04,4.0,15.0,240
1,68.32,1.0,14.0,173
1,27.29,5.0,1.0,50
1,87.64,2.0,12.0,274
1,429.81000000000006,3.0,9.0,326
1,42.6,5.0,6.0,517
1,124.27,1.0,18.0,236
1,168.14,4.0,19.0,469
1,175.32,5.0,20.0,302
1,74.65,4.0,6.0,502
1,356.5,5.0,15.0,336
1,111.89,5.0,3.0,368
1,400.66,3.0,5.0,105
1,63.73,5.0,10.0,122
1,129.91,5.0,11.0,359
1,377.24,4.0,8.0,465
1,577.94,5.0,6.0,582
1,35.0,5.0,13.0,455
1,111.83,5.0,78.0,114
1,355.01,5.0,7.0,324
1,27.68,4.0,5.0,307
1,35.84,2.0,4.0,114
1,210.47,5.0,11.0,421
1,307.14,1.0,30.0,556
1,193.7,2.0,21.0,204
1,111.93,4.0,7.0,307
1,61.77,5.0,6.0,315
1,78.91,5.0,25.0,556
1,31.75,1.0,6.0,421
1,34.27,5.0,2.0,415
1,1708.83,5.0,8.0,385
1,75.07,4.0,8.0,407
1,108.76,5.0,28.0,329
1,856.76,1.0,13.0,264
1,99.65,5.0,18.0,81
1,143.98,5.0,6.0,122
1,159.94,5.0,7.0,217
1,286.65,4.0,17.0,319
1,107.22,5.0,6.0,123
1,52.1,5.0,10.0,305
1,39.0,5.0,8.0,281
1,225.05,4.0,15.0,358
2,301.56,4.5,6.0,519
1,74.05,1.0,14.0,506
1,147.28,3.0,27.0,433
1,216.15,5.0,5.0,273
1,57.56,5.0,11.0,537
1,360.04,5.0,12.0,593
1,41.88,4.0,3.0,206
1,62.68,4.0,7.0,583
1,125.65,5.0,8.0,137
1,141.91,5.0,14.0,204
1,84.85,5.0,3.0,394
1,22.79,2.0,5.0,91
1,63.97,5.0,7.0,411
1,136.5,5.0,9.0,262
1,45.78,1.0,10.0,317
1,138.6,4.0,11.0,264
1,351.18,4.0,8.0,196
1,143.92,5.0,3.0,472
1,76.76,5.0,18.0,516
1,149.03,2.0,10.0,189
1,136.14,2.0,49.0,444
1,124.43,4.0,12.0,487
1,134.32,2.0,2.0,66
1,163.69,1.0,38.0,243
1,71.96,5.0,19.0,174
1,77.57,5.0,13.0,377
1,72.85,4.0,8.0,526
1,108.59,5.0,1.0,225
1,158.09,5.0,25.0,84
1,225.71,5.0,10.0,344
1,307.11,5.0,7.0,68
1,77.57,5.0,15.0,436
2,272.26,5.0,8.0,133
1,128.25,5.0,3.0,164
1,378.26,5.0,4.0,303
1,84.36,5.0,8.0,169
1,114.77,5.0,10.0,163
1,37.84,4.0,6.0,440
1,51.46,5.0,12.0,580
1,388.36,5.0,8.0,226
1,89.72,5.0,8.0,512
1,84.26,4.0,3.0,162
1,213.09,5.0,2.0,318
1,87.7,5.0,4.0,82
1,103.93,5.0,4.0,69
1,72.71,1.0,7.0,72
1,36.22,5.0,14.0,139
1,58.86,2.0,7.0,603
1,95.84,4.0,31.0,214
1,22.78,5.0,1.0,331
1,211.56,5.0,12.0,113
1,80.37,5.0,13.0,195
1,51.69,5.0,10.0,238
1,192.47,5.0,2.0,295
1,44.05,4.0,21.0,279
1,52.84,5.0,10.0,75
1,120.59,5.0,14.0,170
1,88.87,4.0,1.0,156
1,57.69,1.0,5.0,481
1,33.19,5.0,5.0,132
1,96.36,5.0,2.0,107
1,339.7,5.0,5.0,279
1,800.36,5.0,18.0,285
1,172.4,5.0,9.0,380
1,1476.8,5.0,13.0,294
1,502.75,5.0,11.0,242
1,59.07,4.0,18.0,210
1,116.36,3.0,18.0,348
1,123.49,5.0,14.0,97
1,35.57,4.0,16.0,315
1,335.98,5.0,24.0,310
1,102.03,5.0,14.0,275
1,141.13,5.0,12.0,145
1,97.35,5.0,14.0,218
1,56.05,4.0,20.0,244
1,855.72,5.0,9.0,579
1,45.53,1.0,21.0,327
1,2168.28,3.0,7.0,435
2,386.7000000000001,4.0,18.0,426
1,489.96,3.0,6.0,72
1,71.43,5.0,4.0,110
1,377.32,5.0,38.0,134
1,1139.17,3.0,4.0,72
1,73.16,3.0,6.0,343
1,155.36,1.0,14.0,566
1,246.72,5.0,8.0,398
1,216.58,5.0,3.0,60
1,48.21,5.0,2.0,53
1,92.5,5.0,9.0,169
1,56.85,4.0,9.0,463
2,439.54,3.0,29.0,118
1,61.75,4.0,4.0,490
1,187.53,5.0,22.0,307
1,187.87,5.0,4.0,174
1,57.17,5.0,13.0,86
1,48.22,5.0,15.0,139
1,196.74,5.0,15.0,127
1,37.61,5.0,3.0,161
1,21.38,5.0,1.0,195
1,126.68,1.0,34.0,225
1,143.28,4.0,3.0,219
1,255.05,4.0,7.0,127
1,32.1,1.0,45.0,295
1,74.42,1.0,10.0,184
1,69.16,5.0,9.0,538
1,65.63,5.0,14.0,413
1,125.43,5.0,11.0,479
1,26.84,5.0,7.0,324
1,217.64,5.0,25.0,313
1,65.71,5.0,5.0,367
1,199.04,1.0,12.0,167
1,70.84,5.0,7.0,174
1,162.55,5.0,7.0,302
1,124.52,5.0,15.0,327
1,42.82,5.0,7.0,187
1,87.71,5.0,2.0,360
1,172.0,4.0,32.0,326
1,32.77,5.0,3.0,344
1,164.94,5.0,19.0,420
1,1380.5500000000002,1.0,6.0,159
1,77.75,5.0,6.0,561
1,76.92,5.0,15.0,212
1,99.23,5.0,11.0,329
2,445.8,4.0,3.0,85
1,2026.54,1.0,18.0,488
1,60.6,1.0,3.0,72
1,473.08,3.0,13.0,323
1,73.05,5.0,6.0,91
1,71.64,5.0,10.0,286
1,184.4,1.0,20.0,315
1,77.57,4.0,11.0,424
1,67.7,5.0,13.0,279
1,186.52,5.0,9.0,370
1,219.21,5.0,1.0,106
1,43.86,5.0,5.0,632
1,63.02,3.0,19.0,122
1,180.86,5.0,4.0,61
1,118.76,5.0,8.0,162
1,211.41,4.0,1.0,78
1,102.87,5.0,12.0,370
1,267.51,5.0,6.0,508
1,44.84,5.0,7.0,281
1,89.17,1.0,24.0,431
1,46.37,5.0,11.0,215
1,44.24,4.0,4.0,503
1,123.18,3.0,17.0,130
1,182.59,5.0,10.0,282
1,35.77,4.0,9.0,319
1,142.14,5.0,24.0,318
1,163.8,5.0,11.0,321
1,232.65,1.0,14.0,504
1,188.44,1.0,29.0,238
1,289.55,3.0,4.0,242
1,86.39,4.0,12.0,150
1,139.98,5.0,17.0,325
1,353.76,4.0,24.0,580
1,16.61,4.0,6.0,159
1,246.92,5.0,23.0,366
1,76.08,5.0,15.0,436
1,74.03,2.0,7.0,476
1,104.37,4.0,12.0,406
1,119.79,3.0,9.0,78
2,399.81,5.0,6.6,254
1,76.47,5.0,7.0,737
1,108.2,4.0,13.0,183
1,52.68,4.0,9.0,497
1,77.29,3.0,23.0,215
1,99.65,5.0,5.0,55
2,167.32999999999998,5.0,4.0,78
1,65.13,5.0,17.0,152
1,162.96,5.0,11.0,615
1,86.64,5.0,7.0,357
1,710.37,5.0,1.0,204
1,71.82,5.0,6.0,526
1,269.01,5.0,2.0,293
1,902.26,1.0,24.0,207
1,54.79,5.0,9.0,502
1,353.36,1.0,41.0,232
2,709.83,5.0,5.0,104
1,514.37,4.0,2.0,53
1,74.63,5.0,7.0,69
1,721.24,5.0,12.0,441
1,218.49,5.0,4.0,111
1,153.2,5.0,14.0,330
1,283.29,3.0,8.0,462
1,108.31,4.0,8.0,162
1,121.58,1.0,48.0,250
1,41.75,5.0,8.0,337
1,74.89,5.0,7.0,54
1,150.29,5.0,3.0,317
1,105.37,5.0,7.0,400
